"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"1",52.7,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Sales and service occupations","2"
"2",51.1,5,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","50.1 hours and more","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","1"
"5",28,0,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","French","Both English and French","Sales and service occupations","1"
"9",63.8,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","1"
"11",15.7,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Sales and service occupations","1"
"12",40.3,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","50.1 hours and more","Very good","Good","English","English only","Management occupations","2"
"13",56.8,4,6,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Good","Very good","English","English only","Sales and service occupations","1"
"14",26.8,2,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","2"
"17",68.8,7,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Good","English","English only","Sales and service occupations","6"
"18",33.8,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","4"
"20",39.1,3,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Don't know","Excellent","Excellent","English and French","Both English and French","Natural and applied sciences and related occupations","4"
"23",49.4,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Natural and applied sciences and related occupations","4"
"27",30.8,0,7,"Female","Born in Canada","Single, never married","Visible minority","By birth","University certificate, diploma or degree above the bach...","50.1 hours and more","Excellent","Very good","English","Both English and French","Business, finance, and administration occupations","5"
"29",40.8,3,7,"Female","Born outside Canada","Separated","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Very good","Non-official languages","Both English and French","Occupations in education, law and social, community and ...","2"
"30",43.9,0,9,"Male","Born outside Canada","Living common-law","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","2"
"31",40.7,2,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Very good","French","Both English and French","Occupations in education, law and social, community and ...","2"
"33",16.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Natural resources, agriculture and related production oc...","1"
"35",71.4,2,8,"Male","Born in Canada","Separated","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","40.1 to 50.0 hours","Very good","Very good","English","English only","Sales and service occupations","3"
"37",29.6,0,7,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","Non-official languages","English only","Business, finance, and administration occupations","3"
"39",18.6,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
